date,days_since_invasion,estimate,ci_lower,ci_upper,pi_low,pi_high,type,country
2025-04-23,1154,904260.4678020251,863815.9190325361,946598.8800366755,781606.5984036998,1046161.984282744,casualties,russia
2025-04-22,1153,902689.6002555714,862120.5462192999,945167.9499230518,780105.1097919847,1044536.9758652383,casualties,russia
2025-04-21,1152,901180.9124273619,860504.6455103313,943780.146994827,778666.5974257542,1042971.59432818,casualties,russia
2025-04-20,1151,899731.0856450654,858964.35238455306,942432.7517531327,777287.8140053818,1041462.5026080804,casualties,russia
2025-04-19,1150,898286.1787324413,857445.5030889158,941072.1979092879,775918.3407212925,1039952.381584969,casualties,russia
2025-04-18,1149,896881.0076287058,855996.1171715094,939718.7193500537,774594.4831113564,1038473.180114036,casualties,russia
2025-04-17,1148,895483.5303080038,854607.8179635116,938314.3305548246,773293.1983132149,1036981.5664740627,casualties,russia
2025-04-16,1147,894159.3294925008,853355.4102585182,936914.340316579,772078.300349536,1035543.847030455,casualties,russia
2025-04-15,1146,892893.5069811991,852207.023299844,935522.5127405144,770930.9768272259,1034150.7306099483,casualties,russia
2025-04-14,1145,891605.3843569733,851060.033454729,934082.4448292864,769769.620112449,1032724.7931321125,casualties,russia
2025-04-13,1144,890311.9479155784,849926.6604862913,932616.3151811737,768608.7094069894,1031285.9577820532,casualties,russia
2025-04-12,1143,889065.9879928388,848905.0388442078,931127.1037734633,767510.2407898116,1029873.3365909698,casualties,russia
2025-04-11,1142,887843.8989328753,847963.0148346865,929600.6929800195,766449.5760346405,1028465.2957674746,casualties,russia
2025-04-10,1141,886686.3154311604,847080.742879838,928143.9502249061,765447.4561978775,1027128.1412164002,casualties,russia
2025-04-09,1140,885484.7873703425,846115.6028791214,926686.0487317009,764393.3090347203,1025758.9925383496,casualties,russia
2025-04-08,1139,884269.0809790479,845113.6109239755,925238.8906981364,763319.4447011368,1024383.4573031026,casualties,russia
2025-04-07,1138,883055.0938085633,844141.0493920123,923763.2110636292,762254.593810187,1022999.8090421217,casualties,russia
2025-04-06,1137,881854.5010008414,843190.5255136384,922291.5057938442,761204.4303625117,1021627.4845844978,casualties,russia
2025-04-05,1136,880661.9434294571,842211.9594322398,920867.406064516,760151.4681909241,1020277.534520795,casualties,russia
2025-04-04,1135,879514.8459892508,841230.9487866103,919541.1276115094,759127.5429778304,1018993.945705812,casualties,russia
2025-04-03,1134,878301.4672335602,840161.9489857808,918172.4526517853,758035.8761811742,1017647.7091566311,casualties,russia
